data_hora,rodada,aquecimento,versao,modo,trava,workers,chunksize,imagens,pixels,t_total_s,t_preparo_s,t_processamento_s,t_final_s,espera_trava_s,dentro_trava_s,inicio_primeira_tarefa_s,cauda_s,ocupacao,fluxos_usados,impressao_digital,cpu,nucleos_fisicos,nucleos_logicos,ram_gb,sistema,python,pillow,numpy,maquina
2026-09-21T20:48:19,3,0,par,processos,fina,2,4,3334,873988096,167.47498349999933,0.22994659999949363,167.23496109999996,0.01007579999986774,0.0237942,0.0837816,0.41152729999976145,0.13816599999972823,0.9989140774697931,2,ed067b987c6c422c58d6f3b25e5fff5b00f4e2caeab5a0f4f2e2e6fb5d139f03,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,4,8,23.7,Windows-11-10.0.26200-SP0,3.13.15,12.3.0,2.5.3,3022GABRIELMIRANDA
2026-09-21T20:51:13,3,0,par,processos,fina,4,4,3334,873988096,99.67075680000016,0.1443066000001636,99.51766130000033,0.00878889999967214,0.0267734,0.0942848,0.5772831000003862,0.3263032999993811,0.9971462457999436,4,ed067b987c6c422c58d6f3b25e5fff5b00f4e2caeab5a0f4f2e2e6fb5d139f03,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,4,8,23.7,Windows-11-10.0.26200-SP0,3.13.15,12.3.0,2.5.3,3022GABRIELMIRANDA
2026-09-21T20:52:58,3,0,par,processos,fina,8,4,3334,873988096,73.43514109999978,0.11614240000017162,73.31008320000001,0.008915499999602616,0.0349553,0.1158264,0.6128576000000976,0.4984041999996407,0.9934163798236928,8,ed067b987c6c422c58d6f3b25e5fff5b00f4e2caeab5a0f4f2e2e6fb5d139f03,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,4,8,23.7,Windows-11-10.0.26200-SP0,3.13.15,12.3.0,2.5.3,3022GABRIELMIRANDA
2026-09-21T20:54:16,4,0,seq,,,1,,3334,873988096,239.82121869999992,0.1427696000000651,239.67156239999986,0.0068866999999954714,0.0,0.0,,,,1,ed067b987c6c422c58d6f3b25e5fff5b00f4e2caeab5a0f4f2e2e6fb5d139f03,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,4,8,23.7,Windows-11-10.0.26200-SP0,3.13.15,12.3.0,2.5.3,3022GABRIELMIRANDA
2026-09-21T20:58:21,4,0,par,processos,fina,2,4,3334,873988096,148.61981379999997,0.1336025000000518,148.47862859999987,0.00758270000005723,0.0213838,0.0775418,0.3179416000002675,0.14677840000058495,0.9988268081140955,2,ed067b987c6c422c58d6f3b25e5fff5b00f4e2caeab5a0f4f2e2e6fb5d139f03,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,4,8,23.7,Windows-11-10.0.26200-SP0,3.13.15,12.3.0,2.5.3,3022GABRIELMIRANDA
2026-09-21T21:00:56,4,0,par,processos,fina,4,4,3334,873988096,96.2999748000002,0.1453588000003947,96.14689379999982,0.007722199999989243,0.0259539,0.0930671,0.40704310000000987,0.3418621000000712,0.9969282196561172,4,ed067b987c6c422c58d6f3b25e5fff5b00f4e2caeab5a0f4f2e2e6fb5d139f03,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,4,8,23.7,Windows-11-10.0.26200-SP0,3.13.15,12.3.0,2.5.3,3022GABRIELMIRANDA
2026-09-21T21:02:37,4,0,par,processos,fina,8,4,3334,873988096,73.51394059999984,0.10357649999968999,73.4028631000001,0.0075010000000474975,0.046682,0.1253049,0.4466622999998435,0.5168185000002268,0.9949775497816807,8,ed067b987c6c422c58d6f3b25e5fff5b00f4e2caeab5a0f4f2e2e6fb5d139f03,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,4,8,23.7,Windows-11-10.0.26200-SP0,3.13.15,12.3.0,2.5.3,3022GABRIELMIRANDA
2026-09-21T21:03:56,5,0,seq,,,1,,3334,873988096,253.75239320000037,0.09985870000036812,253.64657389999957,0.005960600000435079,0.0,0.0,,,,1,ed067b987c6c422c58d6f3b25e5fff5b00f4e2caeab5a0f4f2e2e6fb5d139f03,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,4,8,23.7,Windows-11-10.0.26200-SP0,3.13.15,12.3.0,2.5.3,3022GABRIELMIRANDA
2026-09-21T21:08:18,5,0,par,processos,fina,2,4,3334,873988096,142.03973909999968,0.17533389999971405,141.85755210000025,0.006853099999716505,0.0205524,0.0743929,0.44226119999984803,0.12151650000032532,0.9988654913043141,2,ed067b987c6c422c58d6f3b25e5fff5b00f4e2caeab5a0f4f2e2e6fb5d139f03,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,4,8,23.7,Windows-11-10.0.26200-SP0,3.13.15,12.3.0,2.5.3,3022GABRIELMIRANDA
2026-09-21T21:10:48,5,0,par,processos,fina,4,4,3334,873988096,95.23839440000029,0.17128880000018398,95.05930989999979,0.007795700000315264,0.0258344,0.091739,0.5591681999994762,0.3462510999997903,0.9970156884268616,4,ed067b987c6c422c58d6f3b25e5fff5b00f4e2caeab5a0f4f2e2e6fb5d139f03,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,4,8,23.7,Windows-11-10.0.26200-SP0,3.13.15,12.3.0,2.5.3,3022GABRIELMIRANDA
2026-09-21T21:12:30,5,0,par,processos,fina,8,4,3334,873988096,78.74150879999979,0.15888919999997597,78.57465599999978,0.00796360000003915,0.046678,0.1253795,0.7549668000001475,0.45214390000001004,0.9955383184147295,8,ed067b987c6c422c58d6f3b25e5fff5b00f4e2caeab5a0f4f2e2e6fb5d139f03,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,4,8,23.7,Windows-11-10.0.26200-SP0,3.13.15,12.3.0,2.5.3,3022GABRIELMIRANDA
2026-09-21T21:13:57,1,0,par,threads,fina,8,4,3334,873988096,191.30234569999993,0.24001769999995304,191.05419059999986,0.008137400000123307,0.0122942,0.2653681,0.07260680000035791,0.8830835000007937,0.998495467469108,8,ed067b987c6c422c58d6f3b25e5fff5b00f4e2caeab5a0f4f2e2e6fb5d139f03,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,4,8,23.7,Windows-11-10.0.26200-SP0,3.13.15,12.3.0,2.5.3,3022GABRIELMIRANDA
2026-09-21T21:17:18,1,0,par,processos,grossa,8,4,3334,873988096,241.1934186999997,0.18313779999971302,241.00287610000032,0.00740479999967647,1676.5020576,239.954641,0.6884888000004139,0.7964295000001584,0.9972644333413619,8,ed067b987c6c422c58d6f3b25e5fff5b00f4e2caeab5a0f4f2e2e6fb5d139f03,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,4,8,23.7,Windows-11-10.0.26200-SP0,3.13.15,12.3.0,2.5.3,3022GABRIELMIRANDA
2026-09-21T21:21:25,2,0,par,threads,fina,8,4,3334,873988096,188.9250274999995,0.192334800000026,188.72566389999974,0.007028799999716284,0.0135629,0.2911435,0.0166572999996788,0.46298860000024433,0.9987069338139343,8,ed067b987c6c422c58d6f3b25e5fff5b00f4e2caeab5a0f4f2e2e6fb5d139f03,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,4,8,23.7,Windows-11-10.0.26200-SP0,3.13.15,12.3.0,2.5.3,3022GABRIELMIRANDA
2026-09-21T21:24:40,2,0,par,processos,grossa,8,4,3334,873988096,243.11575489999996,0.17230240000026242,242.93567619999976,0.007776299999932235,1689.7054793,241.9068943,0.6918674999997165,0.8482499000001553,0.9972269844298428,8,ed067b987c6c422c58d6f3b25e5fff5b00f4e2caeab5a0f4f2e2e6fb5d139f03,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,4,8,23.7,Windows-11-10.0.26200-SP0,3.13.15,12.3.0,2.5.3,3022GABRIELMIRANDA
2026-09-21T21:28:49,3,0,par,threads,fina,8,4,3334,873988096,189.5808463000003,0.13373020000017277,189.43999669999903,0.007119400001101894,0.0168678,0.3309084,0.013071000000309141,0.6891331000006176,0.9982294036300975,8,ed067b987c6c422c58d6f3b25e5fff5b00f4e2caeab5a0f4f2e2e6fb5d139f03,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,4,8,23.7,Windows-11-10.0.26200-SP0,3.13.15,12.3.0,2.5.3,3022GABRIELMIRANDA
2026-09-21T21:32:06,3,0,par,processos,grossa,8,4,3334,873988096,234.93435649999992,0.1328060000014375,234.7943837999992,0.007166699999288539,1633.4875544,233.7957277,0.6489585999988776,0.825263000000632,0.9973799186240945,8,ed067b987c6c422c58d6f3b25e5fff5b00f4e2caeab5a0f4f2e2e6fb5d139f03,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,4,8,23.7,Windows-11-10.0.26200-SP0,3.13.15,12.3.0,2.5.3,3022GABRIELMIRANDA
